id,pattern_id,created_at,updated_at,name,equipment_options,default_equipment,regression,progression,coaching_cues,sections,can_be_primary,equipment_display_names
single-leg-rdl,hinge-deadlift,2026-01-21 04:20:14.697239+00,2026-02-04 03:26:17.459181+00,Single-Leg RDL,"{dumbbells,kettlebells,bodyweight}",dumbbells,,,"{""Hinge at hip"",""Back leg extends for balance"",""Square hips""}",{accessory},f,"{""dumbbells"": ""Dumbbell Single-Leg RDL"", ""bodyweight"": ""Bodyweight Single-Leg RDL"", ""kettlebells"": ""Kettlebell Single-Leg RDL""}"
sissy-squat,squat-bilateral,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Sissy Squat,{bodyweight},bodyweight,,,"{""Lean back, knees forward"",""Heels raised"",""Quad isolation""}",{accessory},f,
skull-crushers,press-isolation,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Skull Crushers,"{barbell,dumbbells}",barbell,,,"{""Lower to forehead"",""Elbows fixed"",""Extend fully""}",{accessory},f,
sled-pull,conditioning-locomotion,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Sled Pull,{bodyweight},bodyweight,,,"{""Hand over hand or backward drag"",""Stay low"",""Continuous tension""}",{conditioning},f,
sled-push,conditioning-locomotion,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Sled Push,{bodyweight},bodyweight,,,"{""Low body angle"",""Drive through legs"",""Short powerful steps""}",{conditioning},f,
snatch,power-snatch,2026-02-04 03:26:17.459181+00,2026-02-04 03:26:17.459181+00,Snatch,"{kettlebells,dumbbells}",dumbbells,,,"{""Hip snap"",""Punch through at top"",""Soft catch""}","{accessory,conditioning}",f,"{""dumbbells"": ""Dumbbell Snatch"", ""kettlebells"": ""Kettlebell Snatch""}"
snatch-grip-deadlift,power-snatch,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Snatch-Grip Deadlift,{barbell},barbell,,,"{""Wide grip"",""Upper back work"",""Full extension""}",{accessory},f,
sotts-press,power-thruster,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Sotts Press,"{dumbbells,kettlebells,barbell}",dumbbells,,,"{""Press from squat bottom"",""Core tight"",""Mobility required""}",{accessory},f,
split-jerk,power-jerk,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Split Jerk,{barbell},barbell,,,"{""Split stance catch"",""Front shin vertical"",""Recover to standing""}","{primary_lift,accessory}",t,
split-squat,squat-unilateral,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Split Squat,"{dumbbells,barbell,bodyweight}",dumbbells,air-squat,goblet-squat,"{""Static stance"",""Vertical torso"",""Back knee toward floor""}",{accessory},f,
squat-clean,power-clean,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Squat Clean,{barbell},barbell,,,"{""Full squat catch"",""Fast elbows"",""Stand up from bottom""}","{primary_lift,accessory}",t,
squat-jumps,conditioning-plyometric,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Squat Jumps,{bodyweight},bodyweight,,,"{""Full squat depth"",""Explosive jump"",""Soft landing""}","{conditioning,warmup}",f,
straight-arm-pulldown,pull-vertical,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Straight-Arm Pulldown,{cable_machine},cable_machine,,,"{""Arms straight throughout"",""Pull to thighs"",""Lat isolation""}",{accessory},f,
strict-press,press-vertical,2026-01-21 04:20:14.697239+00,2026-02-05 17:43:34.092717+00,Strict Press,"{barbell,dumbbells}",barbell,,,"{""No leg drive"",""Bar close to face"",""Full lockout overhead""}","{primary_lift,accessory}",t,"{""barbell"": ""Barbell Strict Press"", ""dumbbells"": ""Dumbbell Strict Press""}"
suitcase-carry,conditioning-carry,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Suitcase Carry,"{dumbbells,kettlebells}",dumbbells,,,"{""One side only"",""Stay vertical"",""Anti-lateral flexion""}","{accessory,conditioning,core}",f,
sumo-deadlift,hinge-deadlift,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Sumo Deadlift,{barbell},barbell,,,"{""Wide stance"",""Toes out"",""Push knees out""}","{primary_lift,accessory}",t,
sumo-squat,squat-bilateral,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Sumo Squat,"{barbell,dumbbells,kettlebells}",barbell,,,"{""Wide stance, toes out"",""Knees track over toes"",""Upright torso""}","{primary_lift,accessory}",t,
swing,hinge-swing,2026-02-04 03:26:17.459181+00,2026-02-04 03:26:17.459181+00,Kettlebell Swing,{kettlebells},kettlebells,,,"{""Hip snap, not arm pull"",""Bell to shoulder height"",""Hinge, not squat""}","{accessory,conditioning}",f,
thoracic-rotations,mobility-stretch,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Thoracic Rotations,{bodyweight},bodyweight,,,"{""Open up chest"",""Rotate through mid-back"",""Follow hand with eyes""}","{warmup,mobility}",f,
three-point-row,pull-horizontal,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,3-Point Row,{dumbbells},dumbbells,,,"{""One hand on bench"",""Row to hip"",""Minimal rotation""}",{accessory},f,
thruster,power-thruster,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Thruster,{barbell},barbell,,,"{""Front squat to press"",""Use leg drive"",""One fluid motion""}","{primary_lift,accessory}",t,
toes-to-bar,core-flexion,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Toes to Bar,{pullup_bar},pullup_bar,hanging-leg-raises,,"{""Kip or strict"",""Toes touch bar"",""Control the descent""}",{core},f,
trap-bar-deadlift,hinge-deadlift,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Trap Bar Deadlift,{barbell},barbell,,,"{""Neutral grip"",""Drive through floor"",""More quad involvement""}","{primary_lift,accessory}",t,
tricep-cable-pulldowns,press-accessory,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Tricep Cable Pulldowns,{cable_machine},cable_machine,,,"{""Elbows pinned"",""Full extension"",""Squeeze at bottom""}",{accessory},f,
tricep-extensions,press-accessory,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Tricep Extensions,"{dumbbells,cable_machine}",dumbbells,,,"{""Elbows fixed"",""Full extension"",""Squeeze at bottom""}",{accessory},f,
v-ups,core-flexion,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,V-Ups,{bodyweight},bodyweight,,,"{""Arms and legs meet at top"",""Controlled descent"",""Full body crunch""}",{core},f,
walking-lunges,squat-unilateral,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Walking Lunges,"{dumbbells,barbell,bodyweight}",dumbbells,,,"{""Long stride"",""Knee tracks over toe"",""Upright torso""}",{accessory},f,
walking-lunges-oh,squat-unilateral,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Walking Lunges (Overhead),"{dumbbells,barbell}",dumbbells,,,"{""Weight locked overhead"",""Core tight"",""Controlled steps""}",{accessory},f,
worlds-greatest-stretch,conditioning-locomotion,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,World's Greatest Stretch,{bodyweight},bodyweight,,,"{""Lunge position"",""Rotate and reach"",""Open up hips and thoracic""}","{warmup,mobility}",f,
